2020-05-05 01:33:55,SCOTUS asks for more briefing in Oracle v. Google copyright case
2020-04-28 23:13:06,Oracle wins cloud computing deal with Zoom as video calls surge
2020-04-02 18:18:25,IN BRIEF: Oracle says unions can't intervene in challenge to DOL powers over federal contractors
2020-03-12 22:24:49,"Oracle's cloud push powers quarterly profit, revenue beat"
2020-03-12 20:11:53,REFILE-Oracle quarterly revenue tops estimates on strong cloud demand
2020-03-03 14:06:49,"Ampere targets cloud companies with new chip, signs Oracle as customer"
2020-02-03 11:09:11,"Oracle adds cloud data centers in five countries, sets new 2020 target"
2019-12-17 17:12:56,"Sudan's Nile Bank signs deal with Oracle, signaling thaw with U.S."
2019-12-12 23:56:31,Oracle misses revenue estimates; no new co-CEO plans
2019-12-12 23:16:42,Oracle chairman says no plans for new co-CEO
2019-12-06 02:50:19,Oracle board committee must turn over documents to shareholder lawyers - Delaware judge
2019-12-05 22:08:49,Oracle board committee must turn over documents to shareholders' lawyers - Dela. judge
2019-11-29 11:58:02,Oracle says DOL bias watchdog lacks power to bring cases against gov't contractors
2019-11-15 23:50:57,U.S. Supreme Court to hear Google bid to end Oracle copyright suit
2019-11-15 19:07:15,U.S. Supreme Court to hear Google bid to end Oracle copyright suit
2019-10-18 23:40:31,Oracle co-CEO Mark Hurd dies at 62
2019-10-18 15:54:47,Oracle Co-CEO Mark Hurd passes away
2019-10-08 02:20:08,"Oracle to hire 2,000 workers to expand cloud business to more countries"
2019-09-30 20:16:26,IN BRIEF: DOJ urges SCOTUS to turn away Oracle v. Google copyright fight
2019-09-26 01:00:46,Exclusive: Oracle says investigators have asked it for information about Google
2019-09-17 19:41:24,"Oracle, VMware agree to deal on cloud technology, technical support"
2019-09-11 23:14:10,Oracle CEO Mark Hurd takes medical leave; first-quarter revenue misses
2019-09-11 20:20:43,Oracle CEO Mark Hurd to take leave on health grounds
2019-09-11 18:30:59,'Oracle of oil' T. Boone Pickens dies at 91
2019-08-19 21:16:36,Oracle directors: Shareholders can go ahead with billion-dollar derivative suit
2019-07-19 21:44:08,Four Republican lawmakers ask Trump to move forward with $10 billion Pentagon cloud contract
2019-07-18 20:28:47,Trump says looking closely at Amazon's bid on $10 billion Pentagon contract
2019-07-11 21:32:36,"Case to Watch: Oracle, Rimini to square off on $28.5M fee award in copyright case"
2019-07-09 05:06:27,BRIEF-WISeCoin In Agreement With Oracle
2019-06-19 22:27:15,"Oracle rises on strong quarterly forecast driven by licenses, cloud services"
2019-06-19 20:09:56,Cloud growth helps Oracle's quarterly profit rise 14%
2019-06-05 12:18:15,"Microsoft, Oracle team up on cloud services in jab at Amazon"
2019-04-29 14:04:25,U.S. Supreme Court seeks Trump administration views on Google-Oracle copyright feud
2019-04-29 13:36:54,U.S. Supreme Court seeks Trump administration views on Google-Oracle copyright feud
2019-03-14 22:44:35,"Oracle's forecast miss overshadows cloud growth, shares fall"
2019-03-14 20:08:00,Cloud growth fuels Oracle's third-quarter revenue beat
2019-03-11 22:25:18,Google Cloud hires another Oracle veteran for top role
2019-03-04 20:54:49,Rimini Street wins $12.8 mln cost dispute with Oracle in Supreme Court
2019-02-25 16:18:46,"Buffett, the Oracle of Omaha, backtracks on Oracle, the company"
2019-01-25 02:25:28,Google asks U.S. Supreme Court to end Oracle copyright case
2019-01-24 20:16:31,Google urges U.S. high court to end Oracle copyright case
2018-12-17 23:40:24,"Oracle sees strong third quarter on cloud strength, share rise"
2018-12-17 21:07:14,Oracle quarterly profit rises 5 pct
2018-11-16 18:00:02,Oracle veteran Thomas Kurian to replace Diane Greene as Google Cloud CEO
