18/01/2018 16:16,Exclusive: Amazon Studios to cut back on indie films in programming shift: sources
18/01/2018 21:52,Apple says it will decide new campus site without an auction
18/01/2018 23:34,Breakingviews - Amazon HQ2 choices disappointingly undisruptive
19/01/2018 00:05,Amazon's review of Toronto could escalate tension with Trump
19/01/2018 14:08,BRIEF-Amazon Is Raising The Price Of Prime Monthly Memberships By Nearly 20 Percent - Recode 
19/01/2018 14:27,Amazon hikes price for its Prime service by 18 percent
19/01/2018 15:06,"US STOCKS-Amazon, Nike drive Wall Street higher"
19/01/2018 18:06,"Amazon boosts monthly fee for Prime by $2, maintains yearly rate"
19/01/2018 22:30,Wall Street ends higher despite government shutdown threat
22/01/2018 13:18,Amazon pulls kids clothes bearing 'Slavery gets shit done' slogan
22/01/2018 20:09,Amazon's automated grocery store of the future opens Monday
22/01/2018 21:15,"After Amazon miss, Detroit shows largest new auto plant in two decades"
23/01/2018 07:32,"Carrefour CEO steps up digital push, inks deal in China"
23/01/2018 17:33,Google gets into audiobooks as rivalry with Amazon heats up
29/01/2018 12:00,Amazon.com opens its own rainforest in Seattle
29/01/2018 12:04,"Amazon's 'HQ2' will bring strain as well as gain to winning city, say experts"
30/01/2018 12:08,"BRIEF-Amazon, Berkshire And JPMorgan To Partner On U.S. Employee Healthcare"
30/01/2018 12:22,"Amazon, Berkshire, JPM to partner on cheaper healthcare for staff"
30/01/2018 13:18,Walmart to share inventory data with suppliers in battle with Amazon
30/01/2018 14:02,BRIEF-Amazon?s Treasure Truck To Provide Offers At Select Whole Foods Market Locations
30/01/2018 15:58,"UPDATE 3-Amazon, Berkshire, JPMorgan create healthcare company to cut costs"
30/01/2018 17:42,Amazon.com opens its own rainforest in Seattle
30/01/2018 20:15,Health investors roll out unwelcome mat for Amazon's arrival
31/01/2018 01:00,Health investors roll out unwelcome mat for Amazon's arrival
31/01/2018 02:52,"Amazon, Berkshire, JPMorgan partner to cut U.S. healthcare costs"
31/01/2018 12:44,Retailer Leclerc eyes Paris food delivery service to counter Amazon threat
01/02/2018 21:08,Amazon revenue surges 38.2 pct on holiday season boost
01/02/2018 21:21,BRIEF-Amazon.Com Q4 Earnings Per Share $3.75
02/02/2018 01:21,"CORRECTED-UPDATE 4-Amazon posts largest profit in its history on sales, tax boost"
02/02/2018 13:29,Wall Street adds more fuel to Amazon share rally after stellar results
02/02/2018 13:56,Alibaba backs Indian online grocer BigBasket in $300 million fundraising
02/02/2018 20:22,"Amazon posts largest profit in its history on sales, tax boost"
02/02/2018 20:22,Amazon stock market value on verge of eclipsing Microsoft
05/02/2018 05:28,"In Australia, Amazon is still finding its way"
05/02/2018 11:26,"Amazon settles tax row with France, value undisclosed"
07/02/2018 16:56,Canada's Trudeau to meet Amazon CEO Bezos during U.S. visit
07/02/2018 20:39,Amazon's market value on verge of beating out Microsoft
08/02/2018 06:40,Amazon to deliver Whole Foods groceries to Prime members
09/02/2018 16:57,"RPT-Shares of UPS, FedEx fall after report Amazon to launch delivery service"
09/02/2018 19:14,"Brazil's Magazine Luiza, B2W, Via Varejo shares hit lows on Reuters report"
09/02/2018 19:27,Amazon hires NBC exec to run its studio
09/02/2018 19:29,BRIEF-Amazon Studio Interim Chief On Twitter Welcomes Jennifer Salke As Head Of Amazon Studios
09/02/2018 21:57,Amazon hires NBC executive Salke to run video studio
09/02/2018 22:06,"Amazon tests delivery in Los Angeles, shipping shares sink"
09/02/2018 22:13,Exclusive: Amazon eyes new warehouse in Brazil e-commerce push - sources
12/02/2018 13:22,Exclusive: Amazon paid $90 million for camera maker's chip technology - sources
12/02/2018 16:46,BRIEF-Amazon Is Cutting Several Hundred Jobs In Seattle - Seattle Times
12/02/2018 17:07,Amazon cutting hundreds of jobs - Seattle Times
12/02/2018 18:32,Amazon cutting hundreds of Seattle jobs in its consumer business: source
