date,sentiment_score
30-Nov-2020,0.22174793481826782
29-Nov-2020,0.6746084690093994
29-Nov-2020,0.6746084690093994
27-Nov-2020,0.5618370771408081
27-Nov-2020,0.6375771760940552
26-Nov-2020,0.8523228168487549
26-Nov-2020,0.6430435180664062
26-Nov-2020,0.41034048795700073
26-Nov-2020,0.48299339413642883
25-Nov-2020,0.5110803246498108
25-Nov-2020,0.6880225539207458
24-Nov-2020,0.6398563385009766
21-Nov-2020,0.18319526314735413
20-Nov-2020,0.559328556060791
20-Nov-2020,0.6600797176361084
20-Nov-2020,0.6860713958740234
20-Nov-2020,0.573316752910614
20-Nov-2020,0.18319526314735413
20-Nov-2020,0.31849974393844604
18-Nov-2020,0.5923658013343811
17-Nov-2020,0.48745253682136536
17-Nov-2020,0.6185415983200073
17-Nov-2020,0.22568216919898987
17-Nov-2020,0.6324379444122314
17-Nov-2020,0.6185415983200073
17-Nov-2020,0.13413336873054504
13-Nov-2020,0.24967655539512634
12-Nov-2020,0.24967655539512634
12-Nov-2020,0.6721593141555786
11-Nov-2020,0.1858203113079071
11-Nov-2020,0.7571295499801636
11-Nov-2020,0.7327744960784912
11-Nov-2020,0.6693943738937378
11-Nov-2020,0.5551630854606628
10-Nov-2020,0.11707037687301636
10-Nov-2020,0.6882743835449219
10-Nov-2020,0.4503132700920105
10-Nov-2020,0.8018038272857666
10-Nov-2020,0.4503132700920105
10-Nov-2020,0.46512675285339355
10-Nov-2020,0.8416773080825806
10-Nov-2020,0.8416773080825806
09-Nov-2020,0.17778164148330688
07-Nov-2020,0.9521147012710571
06-Nov-2020,0.4292728304862976
05-Nov-2020,0.6898764371871948
04-Nov-2020,0.5453851819038391
03-Nov-2020,0.21626517176628113
01-Nov-2020,0.7212876081466675
31-Oct-2020,0.11885085701942444
31-Oct-2020,0.6661676168441772
30-Oct-2020,0.8338507413864136
30-Oct-2020,0.8364136815071106
30-Oct-2020,0.7639589309692383
30-Oct-2020,0.12272197008132935
30-Oct-2020,0.6522911787033081
30-Oct-2020,0.6827255487442017
29-Oct-2020,0.9000293016433716
28-Oct-2020,0.8725914359092712
28-Oct-2020,0.7488318085670471
28-Oct-2020,0.7214910387992859
28-Oct-2020,0.19707602262496948
28-Oct-2020,0.8640260696411133
28-Oct-2020,0.5852447152137756
26-Oct-2020,0.4398641884326935
26-Oct-2020,0.7647359371185303
23-Oct-2020,0.8191449642181396
22-Oct-2020,0.8046225905418396
21-Oct-2020,0.49962565302848816
20-Oct-2020,0.6932973265647888
20-Oct-2020,0.5391596555709839
20-Oct-2020,0.7290486097335815
20-Oct-2020,0.5283567905426025
17-Oct-2020,0.4066949784755707
16-Oct-2020,0.6618330478668213
15-Oct-2020,0.22915714979171753
15-Oct-2020,0.789726197719574
15-Oct-2020,0.20843073725700378
14-Oct-2020,0.4731377065181732
13-Oct-2020,0.25860288739204407
13-Oct-2020,0.7108428478240967
13-Oct-2020,0.5534092783927917
13-Oct-2020,0.908639669418335
12-Oct-2020,0.08866122364997864
12-Oct-2020,0.475094735622406
09-Oct-2020,0.5283567905426025
09-Oct-2020,0.947292685508728
08-Oct-2020,0.7529542446136475
07-Oct-2020,0.8973438739776611
06-Oct-2020,0.22004669904708862
03-Oct-2020,0.6003925800323486
01-Oct-2020,0.8312332630157471
01-Oct-2020,0.4103356599807739
01-Oct-2020,0.3640592396259308
01-Oct-2020,0.2695395350456238
30-Sep-2020,0.5721203088760376
30-Sep-2020,0.37422630190849304
30-Sep-2020,0.3933265507221222
29-Sep-2020,0.7849106788635254
29-Sep-2020,0.8323986530303955
29-Sep-2020,0.8256349563598633
28-Sep-2020,0.8664063811302185
28-Sep-2020,0.8051997423171997
28-Sep-2020,0.69378262758255
25-Sep-2020,0.46175459027290344
24-Sep-2020,0.3892892599105835
24-Sep-2020,0.046979308128356934
24-Sep-2020,0.6878039836883545
23-Sep-2020,0.36262309551239014
23-Sep-2020,0.5131686925888062
22-Sep-2020,0.7737414836883545
18-Sep-2020,0.24341896176338196
18-Sep-2020,0.5177611112594604
18-Sep-2020,0.5177611112594604
18-Sep-2020,0.24341896176338196
17-Sep-2020,0.681613564491272
17-Sep-2020,0.38961419463157654
16-Sep-2020,0.9274823665618896
14-Sep-2020,0.5850551128387451
14-Sep-2020,0.37894633412361145
14-Sep-2020,0.37894633412361145
10-Sep-2020,0.10483410954475403
10-Sep-2020,0.8045843839645386
10-Sep-2020,0.5462254881858826
10-Sep-2020,0.8596959114074707
10-Sep-2020,0.9189560413360596
09-Sep-2020,0.33518725633621216
09-Sep-2020,0.38440456986427307
09-Sep-2020,0.2449283003807068
07-Sep-2020,0.7658646106719971
05-Sep-2020,0.7999553084373474
04-Sep-2020,0.7548707723617554
04-Sep-2020,0.6372374296188354
04-Sep-2020,0.6271438598632812
03-Sep-2020,0.34295588731765747
03-Sep-2020,0.8600518703460693
03-Sep-2020,0.5559123754501343
02-Sep-2020,0.21619799733161926
02-Sep-2020,0.40336495637893677
01-Sep-2020,0.36181169748306274
01-Sep-2020,0.3071931004524231
31-Aug-2020,0.5308215618133545
28-Aug-2020,0.5302568078041077
27-Aug-2020,0.4964979887008667
27-Aug-2020,0.5296147465705872
27-Aug-2020,0.17782512307167053
26-Aug-2020,0.696941614151001
26-Aug-2020,0.8313601016998291
26-Aug-2020,0.7060314416885376
25-Aug-2020,0.31234094500541687
24-Aug-2020,0.6012804508209229
21-Aug-2020,0.6572766304016113
21-Aug-2020,0.748895525932312
21-Aug-2020,0.4491950273513794
20-Aug-2020,0.17118749022483826
